id,item_group_id,title,description,link,image_link,price,availability,condition,google_product_category,product_type,additional_image_link,sale_price,brand,gender,age_group,size,size_type,shipping,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,adwords_redirect
"burgundy-graduation-party-decorations-maroon-gold-black-balloon-garland-arch-for-class-of-2026-gradu","heukikt","Heukikt Burgundy Graduation Party Decorations, Maroon Gold Black Balloon Garland Arch for Class of 2026 Graduation Birthday Congrats Grad High School ","; ; Occasion Graduation Color Burgundy Included Components Balloon Arch, Curling Ribbon, Glue Theme Graduation Material Rubber Unit Count 144 Count Item dimensions L x W x H 0.5 x 0.5 x 0.5 inches Size 0.5 inches Brand Heukikt CPSIA Cautionary Statement No Warning Applicable See … | Best for: Balloons | Editor Score: 8.8/10 | Rating: 4.4/5 (107 reviews) | ASIN: B0CWD5NYRR | Celebrate Class of 2026 with Heukikt's Burgundy Graduation Decorations. Get 144-count balloon arch kit, $15.99, 4.5-star review","https://dawnwire.com/products/burgundy-graduation-party-decorations-maroon-gold-black-balloon-garland-arch-for-class-of-2026-graduation-birthday-congrats-grad-high-school-college-celebrations","https://m.media-amazon.com/images/I/716ENgJrwSL.jpg","18.99 USD","in stock","new","Home & Garden","Heukikt > Balloons",,,"Heukikt","unisex","adult",,,"US:Standard:0 USD","top_rated","regular_price","no_deal","heukikt","balloons",
"gola-womens-elan-sneakers","gola","Gola Gola Women's Elan Sneakers","Best for: Fitness | Editor Score: 8.8/10 | Rating: 4.4/5 (448 reviews) | Deal: 12% OFF | ASIN: B0G44CJQ2R | Get Gola Women's Elan Sneakers at best price. Read reviews now!","https://dawnwire.com/products/gola-womens-elan-sneakers","https://m.media-amazon.com/images/I/71Re9Vgx7pL.jpg","120.00 USD","in stock","new","Health & Fitness > Exercise & Fitness","Gola > Fitness",,"106.19 USD","Gola","unisex","adult",,,"US:Standard:0 USD","top_rated","on_sale","has_deal","gola","fitness",
"sweetcrispy-dresser-for-bedroom-4-drawer-storage-cabinet-tall-nightstand","sweetcrispy","Sweetcrispy Sweetcrispy Dresser for Bedroom, 4 Drawer Storage Cabinet, Tall Nightstand","Best for: Dressers | Editor Score: 9/10 | Rating: 4.5/5 (1580 reviews) | ASIN: B0GL7NSMLL | Get Sweetcrispy dresser from $100! Read reviews & buy now!","https://dawnwire.com/products/sweetcrispy-dresser-for-bedroom-4-drawer-storage-cabinet-tall-nightstand","https://m.media-amazon.com/images/I/61M0KAZwKOL.jpg","39.00 USD","in stock","new","Home & Garden","Sweetcrispy > Dressers",,"26.89 USD","Sweetcrispy","unisex","adult",,,"US:Standard:0 USD","top_rated","on_sale","no_deal","sweetcrispy","dressers",
"mqrw-push-up-boardhome-gymportable-exercise-equipmentpilates-bar-and-20-fitness-accessories-with-res","mqrw","MQRW MQRW Push Up Board,Home Gym,Portable Exercise Equipment,Pilates Bar and 20 Fitness Accessories with Resistance Bands and Ab Roller Wheel,Full Bod","; ; Brand MQRW Material Acrylonitrile Butadiene Styrene ABS Color Black Product Dimensions 29.92""L x 8.85""W x 1.18""H Handle Type Comfortable & Stable | Best for: Home & Kitchen | Editor Score: 9/10 | Rating: 4.5/5 (3611 reviews) | ASIN: B0CRR1XXC4 | Get fit at home with MQRW's portable gym. $49.99. Read reviews now!","https://dawnwire.com/products/mqrw-push-up-boardhome-gymportable-exercise-equipmentpilates-bar-and-20-fitness-accessories-with-resistance-bands-and-ab-roller-wheelfull-body-workout-at-home","https://m.media-amazon.com/images/I/71jbvJKvSgL.jpg","52.99 USD","in stock","new","Home & Garden > Kitchen & Dining > Small Kitchen Appliances","MQRW > Home & Kitchen",,"39.99 USD","MQRW","unisex","adult",,,"US:Standard:0 USD","top_rated","on_sale","no_deal","mqrw","home_&_kitchen",
"the-revelation-of-dionne-daphne-a-novel","mara-brock-akil-(author),-dewanda-wise-(narrator),-random-house-audio-(publisher)-","Mara Brock Akil              (Author),                           DeWanda Wise              (Narrator),                             Random Ho","Customer insights: Customer reviews4.6 out of 5 stars4.6 out of 5503 global ratings5 star4 star3 star2 star1 star5 star71%22%6%0%1%71%5 star4 star3 star2 star1 star4 star71%22%6%0%1%22%5 star4 star3 star2 star1 star3 star71%22%6%0%1%6%5 star4 star3 star2 star1 star2 star71%22%6%0… | Best for: Women's Fiction | Editor Score: 9.2/10 | Rating: 4.6/5 (503 reviews) | ASIN: B0G4Q14MPW | 4.6/5 stars, $14.99, hear Mara Brock Akil's novel on audio, narrated by DeWanda Wise","https://dawnwire.com/products/the-revelation-of-dionne-daphne-a-novel","https://m.media-amazon.com/images/I/91RPBZ5hdjL.jpg","8.99 USD","in stock","new","Home & Garden","Mara Brock Akil              (Author),                           DeWanda Wise              (Narrator),                             Random House Audio              (Publisher)              > Women's Fiction",,,"Mara Brock Akil              (Author),                           DeWanda Wise              (Narrator),                             Random House Audio              (Publisher)             ","unisex","adult",,,"US:Standard:0 USD","top_rated","regular_price","no_deal","mara_brock_akil_(author),_dewanda_wise_(narrator),_random_house_audio_(publisher)_","women's_fiction",
"yoga-stick-mobility-stick-for-stretching-adjustable-exercise-stick","kuzaro","KUZARO Yoga Stick, Mobility Stick for Stretching, Adjustable Exercise Stick","; ; Color Pink Material Alloy Steel, Nitrile Rubber, Polyvinyl Chloride Brand KUZARO Item Weight 2 pounds Product Dimensions 59.2""L x 1.4""W x 1.4""Th | Best for: Yoga | Editor Score: 9/10 | Rating: 4.5/5 (78 reviews) | Deal: Apply 10% coupon Terms [data-sele | ASIN: B0GJBX9X7N | Stretch with KUZARO's adjustable yoga stick. Durable alloy steel & nitrile rubber. $29.99. Read reviews","https://dawnwire.com/products/yoga-stick-mobility-stick-for-stretching-adjustable-exercise-stick","https://m.media-amazon.com/images/I/71arHaVEzeL.jpg","27.99 USD","in stock","new","Health & Fitness > Exercise & Fitness","KUZARO > Yoga",,"22.99 USD","KUZARO","unisex","adult",,,"US:Standard:0 USD","top_rated","on_sale","has_deal","kuzaro","yoga",
"adjustable-dumbbells2030406080lbs-free-weight-set-with-connector-4-in1-dumbbells-set-used-as-barbell","mirravative","Mirravative Adjustable Dumbbells,20/30/40/60/80lbs Free Weight Set with Connector, 4 in1 Dumbbells Set Used as Barbell/Kettlebells/Push up Stand, Fitn","; ; Brand Mirravative Color Black 30LBS 15LBS*2 + Kettlebell Handle 1.76LBS*2 Material Iron Special Feature Adjustable Weight, Non-Slip Product Dimensions 15""L x 7""W | Best for: Dumbbells | Editor Score: 8.6/10 | Rating: 4.3/5 (369 reviews) | ASIN: B0DQFVQT2Q | Get Mirravative 30LBS dumbbells set for $99.99! Adjustable, non-slip & iron-made. Read reviews now!","https://dawnwire.com/products/adjustable-dumbbells2030406080lbs-free-weight-set-with-connector-4-in1-dumbbells-set-used-as-barbellkettlebellspush-up-stand-fitness-workout-equipment-for-home-gym-for-youthwomenmen","https://m.media-amazon.com/images/I/71ylSX3mT0L.jpg","66.99 USD","in stock","new","Home & Garden","Mirravative > Dumbbells",,,"Mirravative","unisex","adult",,,"US:Standard:0 USD","top_rated","regular_price","no_deal","mirravative","dumbbells",
"professional-makeup-brush-set-with-travel-case-18-pcs-for-makeup-artists","bs-mall","BS-MALL Professional Makeup Brush Set with Travel Case 18 Pcs for Makeup Artists","Best for: Brush Sets | Editor Score: 9.2/10 | Rating: 4.6/5 (59973 reviews) | ASIN: B0FLX6PPYT | Get BS-MALL 18Pc Makeup Brush Set for $15.99! 4.5-star rated, buy now & read reviews","https://dawnwire.com/products/professional-makeup-brush-set-with-travel-case-18-pcs-for-makeup-artists","https://m.media-amazon.com/images/I/71wwtlpQuZL.jpg","24.99 USD","in stock","new","Home & Garden > Home Decor","BS-MALL > Brush Sets",,,"BS-MALL","unisex","adult",,,"US:Standard:0 USD","top_rated","regular_price","no_deal","bs-mall","brush_sets",
"48-pcs-grad-cupcake-toppers-6-styles-graduation-cake-topper-congrats-graduation-decorations-2026-gli","qzyl","QZYL 48 PCS Grad Cupcake Toppers, 6 Styles Graduation Cake Topper, Congrats Graduation Decorations 2026, Glittery Black and Blue Cap and Diploma Cake ","Best for: Non-Edible Cupcake Toppers | Editor Score: 8.8/10 | Rating: 4.4/5 (632 reviews) | ASIN: B0GF8964H8 | Get 48 PCS grad cupcake toppers for $10.99! Review our glittery graduation decorations now!","https://dawnwire.com/products/48-pcs-grad-cupcake-toppers-6-styles-graduation-cake-topper-congrats-graduation-decorations-2026-glittery-black-and-blue-cap-and-diploma-cake-picks-for-grad-decor-party-supplies","https://m.media-amazon.com/images/I/81tTAE58xNL.jpg","9.99 USD","in stock","new","Home & Garden","QZYL > Non-Edible Cupcake Toppers",,,"QZYL","unisex","adult",,,"US:Standard:0 USD","top_rated","regular_price","no_deal","qzyl","non-edible_cupcake_toppers",
"lemonsac-15pcs-colorful-eyeliner-pen-set-eye-shadow-pencil-pearl-matte-metallic-glitter-eyeliner-for","lemonsac","LemonSac LemonSac 15PCS Colorful Eyeliner Pen Set, Eye Shadow Pencil, Pearl & Matte Metallic Glitter Eyeliner for Women, Eye & Lip Liner, Professional","Best for: Eyeliner | Editor Score: 8.4/10 | Rating: 4.2/5 (4617 reviews) | ASIN: B092ZJ9FX9 | Get 15PCS colorful eyeliners $10.99! 4.5-star rated, buy now!","https://dawnwire.com/products/lemonsac-15pcs-colorful-eyeliner-pen-set-eye-shadow-pencil-pearl-matte-metallic-glitter-eyeliner-for-women-eye-lip-liner-professional-eye-makeup-set","https://m.media-amazon.com/images/I/819JCNnKl6S.jpg","9.99 USD","in stock","new","Health & Beauty > Personal Care > Skin Care","LemonSac > Eyeliner",,"8.99 USD","LemonSac","unisex","adult",,,"US:Standard:0 USD","top_rated","on_sale","no_deal","lemonsac","eyeliner",
"one-beat-10ft-extension-cord-with-multiple-outletsflat-plug-power-strip","one-beat","One Beat One Beat 10Ft Extension Cord with Multiple Outlets,Flat Plug Power Strip","Best for: Power Strips | Editor Score: 9.4/10 | Rating: 4.7/5 (7632 reviews) | ASIN: B0CKKLDZM8 | Get One Beat 10Ft extension cord with multiple outlets. $15.99. Read reviews now!","https://dawnwire.com/products/one-beat-10ft-extension-cord-with-multiple-outletsflat-plug-power-strip","https://m.media-amazon.com/images/I/618I9hPCIjL.jpg","16.99 USD","in stock","new","Home & Garden","One Beat > Power Strips",,"13.99 USD","One Beat","unisex","adult",,,"US:Standard:0 USD","top_rated","on_sale","no_deal","one_beat","power_strips",
"drscholls-shoes-womens-time-off","dr.scholl's-shoes","Dr.Scholl's SHOES Dr.Scholl's Shoes Women's Time Off","Best for: Fashion Sneakers | Editor Score: 8.2/10 | Rating: 4.1/5 (10059 reviews) | Deal: 32% OFF | ASIN: B094C8G2NT | Get Dr.Scholl's Shoes Women's Time Off from $60. Read reviews & buy now!","https://dawnwire.com/products/drscholls-shoes-womens-time-off","https://m.media-amazon.com/images/I/61MubdIPbkL.jpg","110.00 USD","in stock","new","Apparel & Accessories > Clothing","Dr.Scholl's SHOES > Fashion Sneakers",,"75.00 USD","Dr.Scholl's SHOES","unisex","adult",,,"US:Standard:0 USD","top_rated","on_sale","has_deal","dr.scholl's_shoes","fashion_sneakers",
"tv-floor-stand-for-13-50-inch-lcd-led-flatcurved-panel-screen-tvs-up-to-44-lbs-height-adjustable-tv-","tvon","TVON TV Floor Stand for 13-50 inch LCD LED Flat/Curved Panel Screen TVs up to 44 lbs, Height Adjustable TV Stand Mount with VESA 200x200, Portable TV ","Best for: TV Mount Stands | Editor Score: 9/10 | Rating: 4.5/5 (1105 reviews) | ASIN: B0CG8FQYD1 | Adjustable TV stand for 13-50'' screens. $25-$50. Read reviews!","https://dawnwire.com/products/tv-floor-stand-for-13-50-inch-lcd-led-flatcurved-panel-screen-tvs-up-to-44-lbs-height-adjustable-tv-stand-mount-with-vesa-200x200-portable-tv-stand-for-bedroom-dorm-room-office","https://m.media-amazon.com/images/I/61E-rwaRMfL.jpg","39.99 USD","in stock","new","Electronics > Audio & Video > Video Equipment","TVON > TV Mount Stands",,"37.99 USD","TVON","unisex","adult",,,"US:Standard:0 USD","top_rated","on_sale","no_deal","tvon","tv_mount_stands",
"trendy-queen-womens-long-sleeve-slim-fit-stretchy-color-block-raglan-shirts","trendy-queen","Trendy Queen Trendy Queen Womens Long Sleeve Slim Fit Stretchy Color Block Raglan Shirts","Best for: T-Shirts | Editor Score: 8.4/10 | Rating: 4.2/5 (2378 reviews) | Deal: 50% OFF | ASIN: B0DCZ4KXWK | Get trendy $15.99+! Read reviews of Trendy Queen's Color Block Raglan Shirts","https://dawnwire.com/products/trendy-queen-womens-long-sleeve-slim-fit-stretchy-color-block-raglan-shirts","https://m.media-amazon.com/images/I/61COcNARkcL.jpg","19.99 USD","in stock","new","Apparel & Accessories > Clothing","Trendy Queen > T-Shirts",,"9.99 USD","Trendy Queen","unisex","adult",,,"US:Standard:0 USD","top_rated","on_sale","has_deal","trendy_queen","t-shirts",
"womens-animal-plush-slippers-cute-cozy-fuzzy-house-shoes-non-slip-sole","ooohyeah","ooohyeah Women's Animal Plush Slippers, Cute Cozy Fuzzy House Shoes Non-Slip Sole","Oooh Yeah! Socks & Oooh Geez! Slippers work hard to serve our community and bring happiness with premium products! | Customer insights: Customer reviews4.6 out of 5 stars4.6 out of 51,121 global ratings5 star4 star3 star2 star1 star5 star82%8%4%2%4%82%5 star4 star3 star2 star1 st… | Best for: Slippers | Editor Score: 9.2/10 | Rating: 4.6/5 (1121 reviews) | ASIN: B0D79YHL4P | Cozy fuzzy house shoes $19.99 | 4.6/5 stars, 1,121 reviews. Shop now!","https://dawnwire.com/products/womens-animal-plush-slippers-cute-cozy-fuzzy-house-shoes-non-slip-sole","https://m.media-amazon.com/images/I/81C6zIOxVYL.jpg","32.99 USD","in stock","new","Health & Beauty > Personal Care > Skin Care","ooohyeah > Slippers",,"26.24 USD","ooohyeah","unisex","adult",,,"US:Standard:0 USD","top_rated","on_sale","no_deal","ooohyeah","slippers",
"the-best-391-colleges-2026-in-depth-profiles-ranking-lists-to-help-find-the-right-college-for-you-20","by-the-princeton-review-(author),-robert-franek-(author),-david-soto-(author),-","by                 The Princeton Review              (Author),                           Robert Franek              (Author),               ","Best for: College Entrance | Editor Score: 9/10 | Rating: 4.5/5 (40 reviews) | ASIN: 0593518292 | Find top colleges with The Princeton Review's 2026 guide. Get in-depth profiles & rankings. $22.99, read reviews","https://dawnwire.com/products/the-best-391-colleges-2026-in-depth-profiles-ranking-lists-to-help-find-the-right-college-for-you-2026-college-admissions-guides","https://m.media-amazon.com/images/I/81IOROiaUVL.jpg","26.99 USD","in stock","new","Home & Garden","by                 The Princeton Review              (Author),                           Robert Franek              (Author),                           David Soto              (Author),  > College Entrance",,"20.82 USD","by                 The Princeton Review              (Author),                           Robert Franek              (Author),                           David Soto              (Author), ","unisex","adult",,,"US:Standard:0 USD","top_rated","on_sale","no_deal","by_the_princeton_review_(author),_robert_franek_(author),_david_soto_(author),_","college_entrance",
